公司,城市,简评,结果,难度,自评
新华保险股份有限公司浙江分公司,杭州,面的数据分析岗，杭州平海大厦四楼，下午2.过去的，先叫你写简历，说20分钟找我，2.50写完，4.15没人来带我面试，直接走了，我只想问句，这样的招聘态度和效率贵公司招的到人吗？新华保险一生黑！,面试未通过,一般,不好
滴滴出行,北京,<p>面的数据分析岗</p><p>1.距离问题，不在北京怎么克服，去北京的钱怎么克服；</p><p>2.未来的职业规划；</p><p>3.做过统计模型用到的统计模型?</p><p>4.可以实习多久，在北京有同学吗？</p>,感觉靠谱,一般,一般
中国人民大学调查与<em class=\,北京,应聘数据分析岗，是一个统计学院的老师问的。先是自我介绍，然后就被打断问了市场调研的问题…问的问题都是围绕简历有关延伸统计学的问题。一对一不用紧张。即使被老师否定也没有关系。毕竟人家很权威嘛。如果通过还会有复试。,感觉没戏,一般,一般
悠可网UCO/联合美妆,杭州,<p>数据分析专员，从城西坐近2小时的地铁过去面试的，公司离地铁站还有15分钟距离，很偏。上3楼发现有很多求职者在填资料面试。第一轮是和人事面试，人事对前面几份工作的薪资问的很清楚，因为是跨行业，人事其实对我之前从事的行业并不了解，也问了一些重复性的问题，看出有些不专业，关于数据分析等问题，我完全回答了。</p><p>聊了大约20分钟后，告知我技术总监在开会没办法面试，让我回去等通知。第二天就邮件回复我和岗位不匹配，感觉是被人事给刷了，和技术负责人面试的机会都没有，说实话觉得挺失望的，专业能力没有交流就直接被pass。</p>,面试未通过,一般,不好
蓝月亮,广州,行政数据分析岗位，面试了半个多小时，问题很多很细致。,面试通过,一般,一般
拿铁财经/ 数禾科技,上海,偶然的机会得到了数据分析的面试机会，面试的是一个部门的主管，人多好的。她一眼就看中了我，让我去上班，那段时间还在学校上课，离公司是真的远，上海南站到金科路，大概需要2小时。面试的时候，也没有问太多的技术性的问题，就像聊天一样。其实，你去面试，如果一眼能相中，你就过了，就这么简单。,面试通过,有难度,很好
京东金融,北京,去先是经理面试，后来是HR面试，最后HR说候选人之后再过几天是总监面试。 经理面试：面试的那个部门好像是京东金融众筹那部门，问了一些技术上问题、开放性问题和自己之前的工作，还问了些个人问题。 技术上，SQL函数熟练度，数据分析方法，相关分析与主成分分析区别。 开放性上就是怎么评价一个金融产品的好坏，你了解的金融产品与京东金融有哪有区别。 自己工作经验：以自己的项目为例说明自己的工作。 个人：年龄、婚姻状况、住的地方。,面试未通过,有难度,一般
美的集团,佛山,<p>美的数据分析岗。秋招，先在线考试，题目很简单，接着一面。一面是群面，先自我介绍，然后面试官挨个提问，每个人的问题不一样，大概就是根据你的简历提问的，问了做的研究生课题，还有excel的一些函数，就结束了。</p><p>今天二面，仍然是技术面，艾玛，说好的综合面呢。问了我很多机器学习，深度学习和python的相关知识，都不会，瞎说的，所以估计二面悬了，唉，分享面经攒人品。</p>,感觉没戏,一般,一般
博彦科技 Beyondsoft,上海,从这一周的数据可以看出，周末的销售额明显偏低。这其中的原因，可以从两个角度来看：站在消费者的角 度，周末可能不用上班，因而也没有购买该产品的欲望；站在产品的角度来看，该产品不能在周末的时候引起  消费者足够的注意力。 针对该问题背后的两方面原因，我的运营改进计划也分两方面：一是，针对消费者周末没有购买欲望的心 理进行引导提醒消费者周末就应该准备好该产品；二是，通过该产品的一些类似于打折促销等活动来提升  该产品在周末的人气和购买力。 点评：数据解读能力，获取数据是基本功，仅仅有数据获取能力是不够的，其次是对数据的解读能力。,面试通过,一般,一般
滴滴出行,北京,<p>跟数据分析师进行了1v1面试，考官人很nice，也对我简历读的很细致，最后指出了我在这个实习岗位上的优势和劣势。本来想再找主管进行二面，奈何在开会所以作罢。后续hr说对我印象不错，但是因为我是第一个面试，所以还会有面试的人选，如果面上了会在一两天内通知。</p><p>遗憾是：第一个进行面试，可能稍显劣势；未能进行二面；在专业上面有一个技能没有了解，后续会好好学习的。感觉滴滴的人真的是很nice啊，对待实习生也很友好。</p>,面试未通过,一般,一般
好又贷,广州,<p>面的是数据分析，首先笔试，有sql题，spss题有Python题（pandas相关），题目很简单，我SPSS部分基本没做，因为我没怎么用过，其实公司也不用，就用SQL和Python。然后HR小姐姐来聊，聊你简历上的，问了很多上家公司的问题。之后又等了好久，叫我去14楼，一男一女来面我，问了很多HR问过的问题。全程都不会到一杯水，还拖了一个下午。</p><p>对了，从面试官口中这个岗位很大程度要加班，周末可能也会，不过她说周末加班可以在家办公。有加班费。总的来说这个岗位要会MYSQL Python，其余的就是业务了。</p>,感觉靠谱,一般,不好
京东,北京,位置很偏在亦庄 都快出北京了，难度一般，单休 还有夜班 因为没有通过 待遇不清楚 不过应该不高 属于仓储部门,面试未通过,一般,不好
厦门蒙发利科技集团股份有限公司,厦门,显示给你填一份面试简历，然后就给你一道题目，指标会给，但是数据要自己编写，然后人事进来跟你聊些有的没的，问问你设计的想法；直属领导面试，感觉他很牛很赶时间，问些报表设计思路，指出问题等，还要等总监有时间面试，我没等直接走了。,面试未通过,一般,一般
