公司,城市,简评,结果,难度,自评
欧珀(OPPO),深圳,一面1对一，问了简历，然后问什么时候开始想做数据分析，考了一个数据挖掘算法的原理，考了sql，然后让分析了一道业务题。,面试未通过,困难,一般
华润万家,深圳,"<p>参加过两轮电面。第一轮为信息部同事直接打来，主要了解项目情况，基本的数据处理能力（SQL, 建模前数据的预处理），对数据分析岗位的理解。</p><p>第二轮为HR打来，主要了解的是项目情况，并且问了毕业项目，虽然毕业项目并没有写到简历上因为与数据分析无关。因为没有准备毕业项目，回答的比较磕磕巴巴。</p>",感觉靠谱,有难度,很好
智联招聘,北京,校园事业部数据分析师，问职业规划，具体案例以及数据异常情况该如何解决，对校园招聘的了解程度，薪资待遇等。,感觉没戏,一般,不好
乐职网,合肥,面试主要针对简历中的项目进行提问，和数据分析相关的，具体怎么做的，做了哪些工作，实现了什么样的效果。,面试通过,一般,很好
尼尔森中国,上海,面试偏重于英文，会考察英文做演讲及汇报的能力，是快消行业的case study，主要考察数据分析能力及制作ppt能力。,面试通过,困难,很好
顺丰速运,深圳,<p>面的是地理信息部门的数据分析岗。总共分3面。技术面，总监面，HR面，面试官都很nice，而且彬彬有礼，总体感觉很棒第一面，技术面自我介绍，大概讲了下毕业院校、工作经历这些然后主要是针对简历提问一些数据分析相关的项目经历对数据分析的认识谈谈自己的职业规划。</p><p>第二面、总监面自我介绍总监思维转的比较快，经常冷不丁的抛出一些杀伤性问题。一定要稳住举一个你认为比较有挫折感的例子（因为有带团队经验，举了一下团队动荡时期的经验）举一个你感觉比较骄傲的例子。</p><p>第三面，HR面自我介绍懂哪些数据分析方法，用过哪些数据库（O(∩_∩)O哈哈~，顺丰的HR还是比较偏技术，但是怕HR听不懂，说的比较浅显）期望薪资多少第四面，电话沟通薪酬大概面试过后2天，收到HR电话，沟通确定薪酬和入职时间。</p>,面试通过,有难度,很好
阿里巴巴,成都,面试难度不是很大，就是问了一些基本情况和对数据分析这个岗位的看法。不包含电话面试，一共面了3轮，很顺利就通过了。,面试通过,有难度,很好
同花顺,杭州,大致了解之前的工作和项目经历，还有对于数据分析的基本技能的掌握，整体面试难度不大，面试官比较友好，不会让人感觉有太大压力。,面试通过,一般,很好
上海平安科技,上海,总体过程比较随意，主要问了python的常用数据分析工具包，比如numpy，scipy问写过多少行代码，会不会SQL，机器学习算法会不会。,面试通过,很容易,很好
卓创资讯,淄博,<p>（1）一大早去了之后先填写自己的相关信息（2）紧接着给你好像1个小时的时间去做一份题，这份题里面包含有很多数据挖掘，数据分析的相关知识，以及简单的相关模型，然后还需要做2份英语阅读题，这种类型的英语题完全是属于系统动力学类型，读起来就很费劲，但还需计算 其实总的来说题量挺大的，不过英语阅读题，你可以不需要解答，直接列出相关的式子即可 &nbsp;面试官也会理解，毕竟时间不是很充足。</p><p>（3）接着就是面试，面试的时候主要是针对你做的题以及你简历上面的内容进行提问，紧接着会说一下已对该职位有哪些期望等比较简单。</p>,感觉靠谱,困难,一般
百威投资(中国)有限公司,上海,"面试分为三轮。第一轮电话面试，过了一遍简历，根据简历上做的project进行提问, 并问了软件使用的熟练程度。并给了两个数据分析的case，做详细的分析。",面试通过,一般,很好
埃森哲（中国）有限公司成都分公司,成都,因为项目当时急于寻找数据分析相关方面的人，面试的时候主要跟问了一些跟技术相关的问题，比如怎样做客户细分，怎么做响应预测模型，怎么用数据洞察的结果支撑业务。,面试通过,困难,很好
京东,北京,人力那天通知我来面试，进大楼的时候得通知他们是来面试的，上去的时候，数据分析师问了几个问题，发现不太合适就走了。,面试未通过,困难,一般
字节跳动,北京,部门领导直接面的，首先是自我介绍，介绍了部门的构成和分工。然后深入问了一些业务上的问题，对数据分析的理解，需要面试者对数据运营的整体过程有较深入的理解。,感觉靠谱,有难度,很好
携程旅行网,上海,面试很规范，而且蛮简单的。就和主管聊了下之前的工作经验，问了一些SQL的问题和一些数据分析的案例，大概半个多小时就结束了。,面试通过,困难,很好
阿里巴巴,杭州,1、人资问了工作意向，未来办公地点是否能接受 2、数据分析常用工具是什么 3、对市场的了解 4、未来发展目标 5、SQL和SPSS应用问题,感觉靠谱,有难度,很好
vivo智能手机,杭州,<p>面试主要有两轮：第一轮主管面，历时1个小时，主要问题：</p><p>1、自我介绍；</p><p>2、针对SQL进行提问，所问的问题：</p><p>①窗口函数</p><p>②SQL的执行顺序</p><p>③如果通过SQL取一张成绩表中各科目成绩前三的人并倒序</p><p>3、针对项目经历进行提问；</p><p>4、对分发数据分析岗的理解？</p><p>5、个人基础问题，如为何离职，为什么选择杭州等等。</p><p>第二轮部长面，历时20分钟，主要问题：</p><p>1、针对简历进行提问；</p><p>2、个人基础问题，基本同上；</p><p>3、对薪资的期望。</p>,感觉靠谱,困难,很好
厦门吉比特网络技术股份有限公司,厦门,笔试过了之后是性格测试，然后一面是数据分析师，很简单。二面是部门负责人，主要对你职业规划提问；3面HR面，薪资什么的。,面试通过,一般,很好
凡普金科,北京,总的来说比较轻松愉快。先简单介绍下自己，然后问了一些之前的一些相关经历，说的尽量和他们家的产品比较贴切即可。然后询问了下薪资的要求，以及介绍了下之后的直接规划以及目前组里的人员配置。总的来说很不错。加油！,面试通过,一般,很好
花旗银行,上海,一面是技术面，要求有SAS或者SQL相关经验，有业务sense更佳，英文要好；面试结束会做一个笔试，是基础的SQL知识及SAS macro；一面结束之后就是HR面试谈薪资，整个过程还是挺简单的。,面试通过,有难度,很好
上海鲲驰贸易发展有限公司,上海,内推一面：HR问一些简历上的基础问题，主要考察工作经历真实性。二面：总面试，主要聊聊过往项目经理以及对自己以后的规划。等通知。三面：HR电话面试，主要聊聊薪资问题。通过了，但是没去，还是很感谢鲲驰能给我这次机会，虽然没去，但是之前了解的还是个不错的公司~,面试通过,有难度,很好
信也科技,上海,<p>第一面，人事加技术，写sql，会问一些项目上的东西，例如算法；</p><p>第二面主要讲项目，问题主要针对项目问，接着是人事谈工资。</p>,面试通过,有难度,一般
北京清华同衡规划设计研究院有限公司,北京,"三个面试官面试, 面试就是谈话.主要聊了聊简历的内容, 把简历吃透就行. 但是自己准备不够充分, 面试没过.",面试未通过,有难度,很好
百度,北京,一共三轮面试，每个人面试大概30分钟，都是年轻人面试。问题还是主要看以往的经验，对互联网的理解，对app有没有相关的知识。,面试未通过,一般,一般
滴滴出行,北京,这个面试官很注重实习经历。我个人只有一个暑期实习，实习的内容还是打杂的，所以面试官听完我的自我介绍之后，拿着简历说，你的实习经历很少啊，然后就让我说我这个暑期实习的工作内容，我简单介绍了一下，然后他就不知道问啥了，这明明是一个技术面试，他的第二个问题竟然是你平时有什么爱好。然后闲扯了一下，就让我走了,面试未通过,一般,不好
上海鲲驰贸易发展有限公司,上海,内推一面：HR问一些简历上的基础问题，主要考察工作经历真实性。二面：总面试，主要聊聊过往项目经理以及对自己以后的规划。等通知。三面：HR电话面试，主要聊聊薪资问题。通过了，但是没去，还是很感谢鲲驰能给我这次机会，虽然没去，但是之前了解的还是个不错的公司~,面试通过,有难度,很好
北京清华同衡规划设计研究院有限公司,北京,"三个面试官面试, 面试就是谈话.主要聊了聊简历的内容, 把简历吃透就行. 但是自己准备不够充分, 面试没过.",面试未通过,有难度,很好
花旗银行,上海,一面是技术面，要求有SAS或者SQL相关经验，有业务sense更佳，英文要好；面试结束会做一个笔试，是基础的SQL知识及SAS macro；一面结束之后就是HR面试谈薪资，整个过程还是挺简单的。,面试通过,有难度,很好
信也科技,上海,<p>第一面，人事加技术，写sql，会问一些项目上的东西，例如算法；</p><p>第二面主要讲项目，问题主要针对项目问，接着是人事谈工资。</p>,面试通过,有难度,一般
成都双新孵化器公司,成都,面试流程不算很难，但面试环节有3轮，还有作业要布置。第一轮是人事，基本上就是简单的问题；第二轮为总经理，第三轮为执行董事。,面试通过,一般,一般
阿里巴巴,杭州,整个面试过程特别不好。海外电话面试等了两个小时，聊得不过20分钟，全程无关技术，全是自以为是的小聪明，企图从你的答案里证明你不适合这个职位，全程给人感觉就是他自以为自己很聪明，擅于招聘。,面试未通过,很容易,不好
上海杰胜商务咨询有限公司,上海,大家互相了解的过程，面试官会简单的给你几分以前的报告让你大致了解未来工作方向，你也可以通过报告知道是不是你想要的工作。然后就是一些基本问题了。,面试未通过,很容易,一般
字节跳动,北京,为基本的行测题目，时间较紧。四个部分，每部分十分钟。,感觉靠谱,一般,一般
万得信息技术股份有限公司,上海,<p>哦。我觉得叫二本以下的非计算机专业的过去只是为了充人数。因为根本不会问你问题（很多人都反应是这样）。会直接说：好了，你可以走了。说真的，我第一次遇见这种面试官。</p><p>反正，在南京万得的面试，我感觉到了不被尊重，嘲讽。在问职业规划的时候，面试官赤裸裸的嘲笑了一声。面试官觉得二本以下的是不配有理想的。</p>,面试未通过,一般,不好
天津塔塔,天津,HR很和善， 1.简单的自我介绍（用英语提问、英语回答） 2.以前的实习经历（用英语提问、英语回答） 3.以前的实习经历（韩语提问、韩语回答） 4.阅读一段某企业的韩语文章， 1）看完马上翻译成汉语 2 ) 企业的销售额是多少？（中文回答） 3）介绍一下这个企业的沿革、整编？（中文回答） 4）概括一下，最后一段这个企业的重大事件？（中文回答） 5.用中文提问、回答 为什么选择天津？ 家庭情况？,感觉靠谱,一般,很好
深圳华为慧通,深圳,<p>1先软通面；</p><p>2华为松山湖面，问怎么降维，数据怎么处理。</p><p>3然后HR综合面，问自己能接受松山湖办公嘛。</p>,面试未通过,有难度,一般
禧图纸品印刷(深圳)有限公司,深圳,最先开始是HR面试，按步骤来自我介绍，HR询问了我的职业规划、工作能力。接着是部门经理面试，面试内容是工作主要内容，以及我对这份工作的看法，还问了一些专业的问题，我确定我能胜任这份工作，之后就是工资待遇。HR很贴心，经理问题很直接。感觉很好。,面试通过,困难,一般
滴滴出行,北京,<p>第一轮面试，简单聊了一下学历背景以及过往的工作经历，会让你介绍一下你做过的项目，并对项目的细节会进行提问，比如你项目中涉及的概念性知识，使用的分析方法以，最后得出的结果以及如何应用分析结果驱动公司业务的提高。还有聊到一些案例分析，比如销售额的下降你觉的可能的相关因素有哪些等等。</p><p>面试氛围比较轻松，主要还是考察简历上的内容。</p>,感觉没戏,一般,一般
AdMaster精硕科技,北京,初试是总监级面，先群面再独面。有无领导小组讨论。分别看每个人的表现。 复试时有总监级和boss级，以及HR部门的负责人面试。先做presentation之后逐一提问。也考到口语。,面试通过,有难度,一般
深圳市中正国际货运代理有限公司,深圳,"面试很简单，面试官和老板不懂技术，发了offer,但是没有薪资，没给办理进出门卡！不给笔和笔记本！很不正规！",面试通过,很容易,很好
雅培贸易（上海）有限公司,上海,面试官一个是中国籍，一个是外国籍的。问了我之前做过一个有关C++和SQl的作业。问了比较多SQL的东西。还问了data mining的一些问题，比如说什么是PCA。,面试通过,有难度,很好
唯品会,上海,两轮面试后被刷，主要考察SQL语句，针对简历上的内容进行提问，建 议复习sql的查询等相关内容，如果通过的话，应该还有第三轮面试,面试未通过,有难度,不好
英业达（inventec）,天津,面试官挺和蔼，先是让进行自我介绍，随后就这简历上的问题问了一些，感觉好像与他们做的不太对口，就没有了后续。,面试未通过,一般,很好
天津塔塔,天津,HR很和善， 1.简单的自我介绍（用英语提问、英语回答） 2.以前的实习经历（用英语提问、英语回答） 3.以前的实习经历（韩语提问、韩语回答） 4.阅读一段某企业的韩语文章， 1）看完马上翻译成汉语 2 ) 企业的销售额是多少？（中文回答） 3）介绍一下这个企业的沿革、整编？（中文回答） 4）概括一下，最后一段这个企业的重大事件？（中文回答） 5.用中文提问、回答 为什么选择天津？ 家庭情况？,感觉靠谱,一般,很好
禧图纸品印刷(深圳)有限公司,深圳,最先开始是HR面试，按步骤来自我介绍，HR询问了我的职业规划、工作能力。接着是部门经理面试，面试内容是工作主要内容，以及我对这份工作的看法，还问了一些专业的问题，我确定我能胜任这份工作，之后就是工资待遇。HR很贴心，经理问题很直接。感觉很好。,面试通过,困难,一般
腾讯深圳,深圳,微信语音面试，对方直接是技术leader，过程很简单，上来先做一个自我介绍以及以前做过的项目，追问了一些技术细节，然后就是出了几道概率以及算法题。,面试未通过,有难度,一般
AdMaster精硕科技,北京,初试是总监级面，先群面再独面。有无领导小组讨论。分别看每个人的表现。 复试时有总监级和boss级，以及HR部门的负责人面试。先做presentation之后逐一提问。也考到口语。,面试通过,有难度,一般
IBM,深圳,<p>1.需要全英语的水平去面试，先面试后笔试；</p><p>2.面试官主要想知道应聘者的目前情况，以前做什么与未来的规划；</p><p>3.面试官就是你的上司。</p>,面试通过,有难度,一般
字节跳动,北京,为基本的行测题目，时间较紧。四个部分，每部分十分钟。,感觉靠谱,一般,一般
河北先河环保科技股份有限公司,石家庄,主要是自我介绍，把自己做过的相关的数据分析工作，参加过的项目，以及会用的数据分析软件介绍了一下。然后可以接受出差。因为是现场数据分析师的岗位，需要跟项目到处跑。,面试通过,一般,很好
掌阅科技,北京,首先，去前台说明情况来面试时，就会给你一张应聘简历表还有一张笔试题（针对数据分析师岗位哦），接着就开始填表，答题就行了，大约用了一个多小时才做完笔试题，说实话好多知识点都有些忘记了，最后又是面试官长达一个小时的“严刑拷打”式的面试，太能说，要注意自己的言行举止，这点面试官很会注意观察的，才知道应聘“数据分析师”这个岗位选拔还挺严格的。,面试未通过,有难度,一般
米络科技（KK直播）,杭州,整体面试体验是不错，面得是数据分析是（产品方向），之前主要是做数据运营的，该岗位可能要求更高一些，需要出一些产品策略调整的想法，并通过数据进行验证，而且对直播行业了解的也不是很多，但是面试官给了很多有用的建议。,感觉靠谱,有难度,很好
西安美林电子有限公司,西安,二面都是群面，技术面试主要是从你的项目上提问，去之前可以好好把自己项目中用到的一切都够清楚，深一点比较好。数据分析师也会问一些统计学知识。,感觉靠谱,一般,一般
阿里巴巴,杭州,首先是自我介绍，然后针对我简历上写的SQL进行一些概念性的提问。根据我的SQL和python出了几个较为基础的编程题目，最后是谈一下自己的项目对数据分析的关联。,面试未通过,有难度,很好
美团网,北京,公司在望京，有好几栋楼，但是外面较荒凉。 面试的是部门同事。会先让你做一道计算客服人员员工编制的题。 工作内容就是对客服电话进行数据分析。我只能说美团太大了，这种分析都需要单独再招一个人。,面试未通过,有难度,一般
酷划在线,北京,<p>首先答一份逻辑题，很多，选择题和大题都有，主要是考逻辑和文字梳理能力答题1小时，答完后第一轮是数据分析师leader来面试，主要关注你的简历，上面的工作经历和项目经历都会提问，技术和算法问的不多；</p><p>第二轮是业务组的leader很严肃，目光锁定而且经常打断你，感觉有些不尊重人，因为不是技术所以也没问啥，主要就是谈之前的工作，让你说说自己的做过最好的项目之类的都问了共性的问题就是你觉得自己的优缺点都有什么；</p><p>第三轮HR面，传统套路，聊薪资、待遇以及公司发展之类的。整体来说完全不难，只要之前笔试题答的好，以及面试表现好就可以，对于算法和技术要求不高整个公司让人感觉压抑，第二个面试官很不友善，对于学历十分看重。</p>,面试未通过,一般,不好
瓷肌医生,广州,面试分为3轮，第一轮是一个人事对个人信息做了一个了解，第二次是人事经理细谈，第三次是用人部门总监针对数据分析的专业问题，总监很nice，前后面试总共花了2个小时，整体印象较好。,面试通过,有难度,很好
包银消费,北京,首先是自我介绍、然后是针对简历上的内容题问题、关注点在之前的数据分析实习经历、数据分析工具以及算法的了解程度。,感觉靠谱,有难度,很好
美国运通,上海,因为是数据分析的职位，问道了一些Modeling的问题以及会熟悉运用哪些数据分析的工具，会问一些基本的SQL以及如何用Python的一些包。,面试通过,困难,很好
上海文思海辉,上海,面试官很和善，聊了半个小时。问了一些简历上的项目问题，还有就是对数据分析行业的一些理解，整体感觉不错。我比较注重进公司后能学到什么东西，面试官也根据自己的经验跟我说了很多。,感觉靠谱,一般,很好
字节跳动,北京,面试官是一位偏数据的产品经理，很友善。首先是了解个人经历，针对我之前做的项目的细节进行提问，诸如&quot;X情况是否考虑到，如何解决&quot;之类的问题。接着是和商业产品相关的问题。最后有考察使用R/Python进行数据分析的能力。,面试未通过,有难度,很好
金审(北京)会计师事务所有限公司,北京,"首先开始填一份个人信息表，然后有一份面试题题目主要三方面内容：excel,sql,数据分析理论知识。其中excel是问常用函数，透视表和数据可视化数据分析理论是分析算法，各个算法的应用方面。具体考察了对数据挖掘的理解从概念到实践的过程我就先以以往的工作做个一段自我介绍。然后就面试题，一个个地问，指出我哪里错了。我也及时请教了他应该怎么做？他回答得很详尽。我就把面试当学习了。后来问我还有什么要了解的。我问了公司具体做哪方面的。对他的回答，我表示这个工作确实有趣，很希望有机会能从事这项工作。无奈题做的太差，确实这方面没经验。他婉拒了。",感觉没戏,困难,一般
美林<em class=\,西安,<p>因为春招，时间比较紧，面试官采取一对多的形式，先是笔试，然后是两次面试，相隔间隔很短，给通知流程很快。</p><p>第一次面试问的就是基础问提，在校期间有什么经历，克服了什么挫折，做过什么事情，以及一些性格上面的问题，第二次面试面试官询问了专业方面的问题，以及做过什么相关项目，对大数据的具体理解和认识。</p>,面试通过,一般,一般
Sensors Data神策<em class=\,无锡,常规问题，问能不能适应到一个新城市，在初创团队能不能吃苦，压力大的时候如何自我调整，还有相关的项目经验。,感觉没戏,一般,一般
金审(北京)会计师事务所有限公司,北京,"首先开始填一份个人信息表，然后有一份面试题题目主要三方面内容：excel,sql,数据分析理论知识。其中excel是问常用函数，透视表和数据可视化数据分析理论是分析算法，各个算法的应用方面。具体考察了对数据挖掘的理解从概念到实践的过程我就先以以往的工作做个一段自我介绍。然后就面试题，一个个地问，指出我哪里错了。我也及时请教了他应该怎么做？他回答得很详尽。我就把面试当学习了。后来问我还有什么要了解的。我问了公司具体做哪方面的。对他的回答，我表示这个工作确实有趣，很希望有机会能从事这项工作。无奈题做的太差，确实这方面没经验。他婉拒了。",感觉没戏,困难,一般
EJOY广州简悦科技,广州,初面是在比较大型的供需会上进行的，有应届生也有社会人士。面试官感觉比较专业，会问你平时数据分析熟悉的软件，经常用到的模块和方法等等的，我说了平时学习的R的内容和一些数据分析方法，然后面试官会问你对游戏熟悉吗，平时经常玩什么，然后挑了一款游戏让你谈谈吸引你的地方，还有有什么不足等等，感觉知名度比较高的游戏被问到的可能性大，比如王者荣耀和阴阳师一类的。复试是去公司，氛围挺好的，一对一，大概面了一个小时。感觉二面更注重对“游戏”的理解，比如对市场、游戏定位、 特别注重“数据分析”在游戏特别是手游行业有什么应用这块。 二面维度更深一些，会问你各种游戏，比如这款游戏数据下降很快，让你说原因；还有付费率的问题，让你对游戏的付费环节分析等等。总的来说，一面比较轻松，二面挺难，感觉公司也挺用心的，面试官也很认真面，个人想要面这个岗位还是有些难度，需要多做些功课，看看这类行业的面经。,面试未通过,困难,一般
华强方特,深圳,面试两轮，第一轮为技术面，询问数据分析的常用算法，python的数据结构，常用数据分析包，画图包等，之后HR面，询问对方特的了解，认识等。,面试通过,很容易,很好
汤森路透,上海,一面就是普通面试，问问你的个人情况，学习情况，工作情况然后回去会有一个笔试题做做简单的数据分析和英文能力二面就是基本可以确定要你了。,感觉靠谱,有难度,一般
58同城,北京,首先发来短信，要求去酒仙桥面试，后来改时间了，面得是数据分析师，在笔试的时候，给定一些条件，问养猪或者马那个更赚钱，我觉得回答言之有理即可。另外问了如果房产中介续约率较低，怎么找出原因。,感觉没戏,有难度,一般
中国建设银行,福州,在校招的时候疯狂投简历，投了个建设银行的技术岗，主要是技术分析之类的。很长时间以为没消息后，叫我去面试。首先是自我介绍，然后问了些常规问题，包括为什么选择建设银行，生源地哪里，为什么不考虑考博等等。后面就让简单介绍下会使用哪些数据分析的软件，就扯一大堆什么Matlab、R语言、Python、Stata等，吹了些做课题分析数据的经验。,感觉靠谱,有难度,一般
安徽网新,合肥,总共有三面。一面是直接和人事沟通，会问你为什么选择这份工作，为什么离职以及一些职业发展规划。二面是和数据部主管沟通，主要设计一些自己会的技术，各种数据分析软件之类的以及一些项目。三面是和部门老总直面，也就是终面，会问你一些严肃的问题，老总都是很严肃的。,面试通过,有难度,很好
西藏联合利信科技有限公司,北京,面试过程分为三轮，前两轮是人力面试，最后一轮是经理面试。面试的岗位是数据分析师，但是感觉对专业的要求不是很高，面试都是一些非技术问题，所以感觉这个职位应该技术含量并不高，不过据说加班不多，实习的时候也是拿全部的工资。,面试通过,一般,很好
链家,北京,共计3面。一面是看着简历问问题，都做过哪些项目，自己的参与的实际工作内容，还有数据分析的基础知识，用什么工具等。二面，提一个具体的工作中的问题，让你提出解决思路。3面，向你介绍目前公司再做的项目。等等。,面试通过,有难度,很好
美团网,北京,<p>我之前在实习僧投了两个美团数据的岗位，一个是数据运营，一个是数据分析。两个岗位的面试时间数据运营是9号和数据分析是10号。面试官首先看了看简历，然后根据简历问了一些个人问题。在接着出了一个sql的问题，join链接表的问题，问了大概三个问题，最后一个我有点不太会，面试官就会一步一步引领你来做这道题。sql的问题其实不难，很基础。</p><p>接着面试官告诉我她们属于数据部，每天工作内容就是跑sql，会很繁琐。问我怎么看待加班，怎么应对压力，自己的优缺点是什么，但是我答的不是很好。然后我又问了面试官两个问题，就结束了。接着是二面，二面小姐姐很不错，明显感觉比一面的氛围轻松很多，也是练了一个sql的问题，其他的也是聊的比较随意一点。</p>,感觉靠谱,一般,一般
时趣SocialTouch/众趣,北京,一上来就是技术部负责数据方向的leader面试，针对简历上的项目经历进行了详细的询问，包括不同算法的细节、优缺点、应用场景等，也会涉及大量业务相关的问题，考察面试者对具体场景的算法应用情况。接下来考察了数据结构的知识，并进行手写代码实现。总体感觉对技术方面要求较高，有点超过了数据分析师的范畴了，整体感受更像是数据工程师的面试。,面试未通过,一般,一般
孩子王儿童用品股份有限公司,南京,首先是校园宣讲，然后是笔试，然后是出面，紧接着是二面，都在一个下午到晚上大概六七点之间完成，初面是业务面，会问你一些数据分析方面的问题，二面是HR面，然后就没有然后了。经历了两轮面试，但没有给结果，就是没过的意思吧。,感觉没戏,困难,一般
广州一路时尚教育科技有限公司,广州,说是数据分析师，实际是统计员，更离谱的是办公地点是前台，就是还要兼顾前台的工作，公司人很少，也没人带，叫做一份表格，结果表格字段不清不楚的，不懂他们业务的真不知表格要我们算什么，那里的同事又很忙，根本没空理我，感觉公司挺不靠谱。,感觉没戏,很容易,不好
乐视网,北京,<ol class=\,面试通过,困难,很好
猫眼电影,北京,<p>面试分为三轮：</p><p>1.由将来带你的分析师进行，开始是针对简历进行深度提问，之后有数据分析的现场测试；</p><p>2.由团队负责人进行，针对简历进行简单提问，重点会对你对电影行业的理解进行提问；</p><p>3.由HR进行，针对简历进行简单提问，之后会问你问什么跳槽、薪酬期望等问题。</p>,面试未通过,困难,很好
微乐自由壁纸/华永无线/微乐动态壁纸,天津,面试总共三部分，第一部分就是人力姐姐给你发一张简历表和性格测试类的问卷填填，之后等待某个领导面试，再然后又被安排可能更高一级的领导面试。总体感觉这里的工作人员和领导都很nice，觉得他们工作环境也都还可以，只是没问当时面试的两位领导的级别。主要问题基本就围绕自己投的那份简历的内容问的，大致把在学期间的经历进行了一定程度的介绍和了解。包括对自己做过的实习进行一下评价，说一下自己的感受，问了一些对数据分析的理解和看法，以及自己在学期间与数据分析相关的研究或经历。然后面试官介绍了以下公司的情况。整体来说面试问题感觉都还好回答，因为都是围绕自己经历相关的内容进行提问的，面试官态度都很亲切，面试氛围比较轻松。,面试通过,一般,很好
一条视频,上海,到公司问前台，在门口等了20分钟才有人安排，没有hr面试环节，也没有面试题，直接就是部门面试，会议室很暗，面试过程很压抑，对面坐三个人面试，hr负责旁听，其他两个人为部门负责人，问的问题都很宏观，面到后面才知道是其实是招负责数据仓库的数据分析师，与hr发布岗位描述完全不符，整个面试体验很差。,面试未通过,有难度,不好
腾讯,深圳,投了腾讯的数据分析岗，笔试题是5道编程过了2道半，国庆以前进行了面试，主要问了简历上的内容，根据你做过的机器学习项目会进行扩展询问，比如我用过聚类，面试官问了我k-means的聚类原理，优缺点，如何处理。然后问了我一些项目的细节问题。最后问了一个数据库的左连接问题。,面试未通过,有难度,一般
字节跳动,北京,数据分析一职主要注重业务产品型的分析，字节跳动是一家及极其注重数据评价产品的公司，简单的说就是日活，面试官层层引导我对日活的理解和分析，没有答得另面试官满意，然后面试就截止了~不知道面试官后面会继续问什么样的问题，但如果正如从网上搜到的那样，以日活来评价整个产品的质量的话，我..........其实也不能说啥了，啊啊啊，毕竟人家也不要我，呵呵哒~,面试未通过,困难,不好
Coupang China,上海,onsite面试，第一轮先是技术面试，之后是和经理面试，最后一轮是和HR聊聊。技术面试被要求写sql了，和如何处理一些Overfitting的问题。,面试通过,困难,很好
上海移动,上海,先是面试官让自我介绍，然后问了为什么选择这个公司，为什么大学学习这个专业，为什么选择这个岗位，然后是几个统计基础题,感觉没戏,一般,一般
百度,北京,第一轮面试，第二轮笔试，最后会有HR找你谈的你要求和一些想法 很简单，先做一份逻辑测试题。然后分组，一组4.5个一起面。问题都是都是那几个老问题。主要在意你能不能加班，是不是单身。没问题的直接过，有一些问题的二面。主要确认一些情况，看你是不是真心想做。,面试未通过,困难,很好
旺旺集团,上海,1、自我介绍了解工作经历面试比较随意 没有想象中的专业 2、上机操作 会使用到一些函数 比如vlookup 之类的,面试通过,一般,一般
嘉实基金,北京,&lt;p&gt;去嘉实基金面试数据工作前先在网上搜集一下公司信息，当时正在做外包服务所以面试比较容易就通过了，没有遇到特别多的问题。会问一些数据相关的知识，问你对二级市场是否了解。&lt;/p&gt;,面试通过,困难,很好
TATA 信息技术(上海)有限公司,上海,先笔试测试逻辑思维能力，以及英文能力，英文包括邮件书写，工作中的日常交流。之后适合项目经历直接面谈。,面试通过,困难,很好
百度,北京,一开始就是一个小时的笔试，翻译题，论述题。然后是面试，难度还可以，主要是问一下你的经历，已经对百度的了解。,面试通过,一般,很好
美团网,上海,面试官人很nice，题目也很简单，主要是聊自己的项目经历和一些Excel题的测试，但自己准备不是很充分。,面试未通过,一般,一般
Merkle美库尔,上海,&lt;p&gt;错过了秋招，年底回国后把简历挂在了网上，12月底收到南京hr电话，聊了大概情况根据意愿推给了上海的hr，上海hr做了个简单的电面，基本就是讲了讲项目经历，之后约了视频面试。视频面试需要提前准备一个之前做过项目的ppt展示，做英文presentation，之后问了几个项目相关问题，再就是一个SQL问题。最后是一个manager聊了20分钟，基本就是聊天，问了一个简历上的项目经验。第二天收到上海hr说面试通过的电话。&lt;/p&gt;,面试通过,很容易,一般
携程旅行网,上海,机票事业部数据分析师面试是我梦寐以求的岗位，投了一个月简历才有的面试机会，结果今天表现稀巴烂。这个岗位很偏技术，50%技术50%业务理解吧，要会概率，统计，数据库取数，编程建模，面试难度对不是统计学，数学或者计算机出生的我来说挺难的，题目都答错了。不过面试官非常专业，全部耐心解答，不愧是大企业。,感觉没戏,有难度,很好
vivo智能手机,武汉,首先第一面就是技术面，没有群面。然后开始就问笔试的内容，笔试当时做的不好。笔试内容比较偏概率论与数理统计，如果数学基础好，应该没什么问题。然后就问了家庭情况，还有一些案例，根本没有问关于数据分析的算法，这一点让我准备偏离了方向。最后大约面了20分钟就让回去等消息，最后没有通过。,面试未通过,有难度,一般
京东,北京,整个过程比较轻松，面试官寿险要我做了一个自我介绍，然后是问我做得具体工作，我很快就回答了，接下来面试官问了一个关于京东目前的业务即3C业务，让我结合数据分析的一些经验谈谈对京东3C业务的发展，看似很随意，实际挺有深意，我的回答京东那个面试官很满意，所以就过了。,感觉靠谱,困难,很好
蚂蚁金服,杭州,<p>首先自我介绍，说了一下教育经历，工作经历，项目经历。面试官根据项目经历问了很多问题，如使用了什么方法， 遇到什么问题，如何解决。</p><p>面试时提到我对机器学习和人工智能感兴趣，面试官问了我是否修过什么课， 对这两个领域分别有什么了解。面试官还问到关于蚂蚁数据量极大如何适应（我感觉此处我已经挂了），然后对于大数据分析有什么心得之类。</p>,面试未通过,一般,一般
